resume_text,job_description,match_score,match_label
Project manager with 5 years of experience in waterfall and agile methodologies. PMP certified. Managed software delivery projects up to $2M budget. Remote work experience included.,"Engineering Manager at tech firm. Required: engineering background, coding experience, technical team leadership, system design. 7+ years.",0.67,medium
"Senior data analyst with 10 years of experience in SQL, Python, and data visualization. Worked with Tableau, Power BI, and Excel for reporting. Strong background in statistical analysis and business intelligence. Proven track record of delivering results.","Senior Business Intelligence Analyst at enterprise firm. Required skills: SQL, Python, Tableau, Power BI, statistical analysis. 5+ years experience preferred.",0.92,high
"Logistics coordinator with 2 years of experience in supply chain management, vendor coordination, and inventory tracking. Proficient in SAP and Excel.","Mobile App Developer at startup. Required: React Native, iOS/Android, Firebase, GraphQL, app store deployment. 3+ years.",0.25,low
"Interior designer with 8 years of experience in space planning, AutoCAD drafting, and client presentations. Strong aesthetic sense and vendor management.","Backend Engineer at fintech. Required: Java/Scala, microservices, Kafka, distributed systems, high-throughput APIs. 5+ years.",0.27,low
"Chef with 6 years of experience in French cuisine, menu planning, and kitchen management. Expert in food safety and team coordination in high-pressure environments. Remote work experience included.","Cybersecurity Analyst at financial firm. Required: ethical hacking, SIEM, firewall management, incident response, security certifications.",0.19,low
"HR manager with 10 years of experience in talent acquisition, employee relations, and HR policy development. Familiarity with HRIS systems like Workday and SAP SuccessFactors. Proven track record of delivering results.","HR Manager at corporate firm. Required: talent acquisition, HRIS (Workday/SAP), employee relations, HR policy. 5+ years required.",0.83,high
"Accountant with 3 years of experience in bookkeeping, tax filing, and financial statement preparation. Proficient in QuickBooks and Tally. CPA certified. Proven track record of delivering results.","DevOps Engineer at cloud company. Required: Kubernetes, Docker, CI/CD, AWS/GCP, infrastructure as code. 4+ years required.",0.2,low
"Logistics coordinator with 6 years of experience in supply chain management, vendor coordination, and inventory tracking. Proficient in SAP and Excel. Strong problem-solving abilities.","Mobile App Developer at startup. Required: React Native, iOS/Android, Firebase, GraphQL, app store deployment. 3+ years.",0.29,low
"Cloud architect with 6 years of experience designing scalable cloud solutions on AWS. AWS Certified Solutions Architect. Experience with serverless, microservices, and cost optimization. Proven track record of delivering results.","Cloud Architect at enterprise company. Required: AWS architecture, serverless, microservices, cost optimization. AWS certification preferred.",0.89,high
"Chef with 4 years of experience in French cuisine, menu planning, and kitchen management. Expert in food safety and team coordination in high-pressure environments. Led teams of 3-8 members successfully.","Cybersecurity Analyst at financial firm. Required: ethical hacking, SIEM, firewall management, incident response, security certifications.",0.11,low
"Web designer with 10 years of experience in WordPress, Figma, and responsive design. Some React knowledge from online courses. Familiar with basic SEO. Strong problem-solving abilities.","Full Stack Developer at startup. Required: React (expert), Node.js, MongoDB, Docker, CI/CD pipelines. 4+ years experience.",0.63,medium
"Customer support lead with 3 years of experience managing support teams, ticketing systems, and SLA compliance. Some experience with Zendesk and CRM tools. Remote work experience included.","Sales Manager at SaaS company. Required: B2B sales, quota achievement, pipeline management, enterprise account management. 5+ years.",0.63,medium
"Cybersecurity analyst with 6 years of experience in threat detection, penetration testing, and SIEM tools. Certified in CEH and CompTIA Security+. Experience with firewalls and network security. Proven track record of delivering results.","Cybersecurity Analyst at enterprise firm. Required skills: penetration testing, SIEM, network security, CEH certification. 3+ years required.",0.9,high
"Product manager with 3 years of experience in agile product development, roadmap planning, and stakeholder management. Worked with cross-functional teams in B2C and B2B products. Led teams of 3-8 members successfully.","Product Manager at tech company. Required: agile methodology, roadmap planning, cross-functional collaboration, B2B/B2C experience. 5+ years preferred.",0.85,high
"Data scientist with 10 years of experience in predictive modeling, NLP, and deep learning. Published research in machine learning. Proficient in Python, R, and Spark. Proven track record of delivering results.","Data Scientist at analytics firm. Required: predictive modeling, NLP, Python/R, deep learning experience. PhD or 4+ years experience.",0.89,high
"HR manager with 4 years of experience in talent acquisition, employee relations, and HR policy development. Familiarity with HRIS systems like Workday and SAP SuccessFactors.","HR Manager at corporate firm. Required: talent acquisition, HRIS (Workday/SAP), employee relations, HR policy. 5+ years required.",0.87,high
Mobile app developer with 6 years of experience in iOS (Swift) and Android (Kotlin) development. Published 10+ apps on App Store and Play Store. Experience with Firebase and REST APIs.,"Mobile Developer at app startup. Required: Swift or Kotlin, iOS/Android, Firebase, REST APIs. 3+ years experience.",0.92,high
"Business analyst with 6 years of experience in requirements gathering, process mapping, and SQL queries. Some exposure to Python scripting and data visualization. Remote work experience included.","Senior Data Scientist at tech company. Required: advanced ML/DL, Python (expert), TensorFlow, published research, PhD preferred.",0.62,medium
"Marketing coordinator with 3 years of experience in social media, content creation, and email marketing using Mailchimp. Basic knowledge of Google Analytics. Proven track record of delivering results.","Digital Marketing Manager at e-commerce company. Required: SEO/SEM expertise, Google Ads, paid media campaigns, team leadership, 5+ years.",0.63,medium
"Business analyst with 5 years of experience in requirements gathering, process mapping, and SQL queries. Some exposure to Python scripting and data visualization.","Senior Data Scientist at tech company. Required: advanced ML/DL, Python (expert), TensorFlow, published research, PhD preferred.",0.59,medium
"Cybersecurity analyst with 6 years of experience in threat detection, penetration testing, and SIEM tools. Certified in CEH and CompTIA Security+. Experience with firewalls and network security. Led teams of 3-8 members successfully.","Cybersecurity Analyst at enterprise firm. Required skills: penetration testing, SIEM, network security, CEH certification. 3+ years required.",0.86,high
"Full stack developer with 6 years of experience in React, Node.js, and MongoDB. Built scalable web applications, REST APIs, and microservices. Familiar with AWS and Docker. Proven track record of delivering results.","Full Stack Engineer at startup. Required skills: React, Node.js, MongoDB, REST APIs, Docker. Looking for 4+ years experience.",0.94,high
"Real estate agent with 6 years of experience in property sales, client negotiation, and market analysis. Strong networking and communication skills. Strong problem-solving abilities.","Cloud Infrastructure Engineer at tech company. Required: AWS, Terraform, Kubernetes, Linux, DevOps practices. 4+ years.",0.19,low
"Logistics coordinator with 10 years of experience in supply chain management, vendor coordination, and inventory tracking. Proficient in SAP and Excel. Led teams of 3-8 members successfully.","Mobile App Developer at startup. Required: React Native, iOS/Android, Firebase, GraphQL, app store deployment. 3+ years.",0.19,low
